titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
Alella,SR Mapes,,1 plano,SR Mapes,,"Inserta: Relación de equipamientos y servicios, centros educativos, residencias sociosanitarias y centros de salud con su localización en el plano; callejero",col.
"Algarve : Faro, Lagos, Portimão, Albufeira, Tavira",Editorial Fisa Escudo de Oro,,1 mapa,Editorial Fisa Escudo de Oro,Carreteras -- Mapas -- Algarve,Incluye índice toponímico y mapa de las principales carreteras de la zona centro y meridional de Portugal,col.
"Algerii Saracenorum urbis fortissimae, in Numidia Africa Provincia Structae, iuxta Baleriacos fluctus Mediterranei aequoris Hispaniam contra, Othomanor. Principu imperio redactae, imago","Braun, Georg",,1 plano,"Ministerio de Defensa, Secretaría General Técnica",,"Inserta: Relación de construcciones defensivas, monumentos, mezquitas, baños públicos, palacios, edificios más significativos y calles principales, con su localización en el plano",col.
Alhama de Granada,Alhama de Granada,,1 plano,Ayuntamiento de Alhama de Granada,,Incluye información de monumentos con su localización en el plano,col.
Alicante,Ediciones A.M.,,1 plano,Ediciones A.M.,Carreteras -- Mapas -- Alicante (Provincia),Inserta: Lugares de interés turístico con su localización en el plano; teléfonos de información turística; datos de interés turístico; teléfonos de interés ciudadano,col.
Allotjaments per a senderistes i cicloturistes = Alojamientos para senderistas y cicloturistas,Patronato de Turismo (Lérida),Alojamientos para senderistas y cicloturistas,1 mapa,"Diputació de Lleida, Patronat de Turisme",Alojamientos turísticos -- Mapas -- Lérida (Provincia),Inserta: Mapa de localización en España y Europa,col.
Almedinilla,Córdoba (Provincia),,1 plano,Diputación de Córdoba,,Inserta: Lugares de interés con su localización en el plano; información del centro de recepción de visitantes; pequeños mapas de accesos y de localización en la Mancomunidad Subbética y en Andalucía; fotografías,col.
Almenar,SR Mapes,,1 plano,SR Mapes,,Incluye callejero e información comercial con su localización en el plano,col.
Almería,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Almudévar,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Alpera,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
L'Alt Empordà : Cap de Creus : en detall : a peu i en BTT = walking & BTT,Editorial Piolet,,1 mapa,Editorial Piolet,Excursionismo -- Mapas -- Alt Empordà -- Carreteras -- Mapas -- Alt Empordà,Incluye mapa de localización en la costa de Gerona,"ambas caras, col."
L'Alt Penedès,"Geotec, Estudis i Projectes",,1 mapa,Diputació Barcelona,,Inserta: Localización del Alt Penedès en Cataluña y en Europa,col.
América del Sur política,Editorial Teide,,1 mapa,Editorial Teide,,,col.
Ampuero : plano - callejero 2017,Ampuero,,1 plano,Ayuntamiento de Ampuero,,Inserta: Ampliación del centro urbano; callejero,col.
Andalucía,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 mapa,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapas de localización de Andalucía en España y Europa,col.
Andalucía,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 mapa,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapas de localización de Andalucía en España y Europa,col.
Andalucía,Ediciones A.M.,,1 mapa,Ediciones A.M.,Carreteras -- Mapas -- Andalucía,Al verso: Fotografías e información general de las capitales de provincia de Andalucía; guía de servicios,col.
Andalucía,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 mapa,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapas de localización de Andalucía en España y Europa,col.
Andalucía : mapa autonómico,Instituto Geográfico Nacional (España),,1 mapa,Centro Nacional de Información Geográfica,,Inserta: Mapas de situación de Melilla en el Mar Mediterráneo,col.
Andalucía : mapa de la comunidad autónoma,Instituto de Estadística y Cartografía de Andalucía,,1 mapa,Instituto de Estadística y Cartografía de Andalucía,,Incluye pequeños mapas de localización y de hitos y dimensiones geográficas de Andalucía,col.
Andando por Dumbría,Dumbría,,1 mapa,Concello de Dumbría,Senderismo -- Mapas -- Dumbría,Inserta: Establecimientos de alojamiento y restauración; rutas recomendadas,col.
Andando por Dumbría,Dumbría,,1 mapa,Concello de Dumbría,,Inserta: Rutas recomendadas por Dumbría; información de restaurantes y alojamientos; albergues de peregrinos,col.
Aneto - Maladeta,Prames,,1 mapa,Prames,"Excursionismo -- Mapas -- Aneto (España, Pico) -- Excursionismo -- Mapas -- Maladeta (España, Macizo)",,col.
Antzuolako toponimoen mapa,Geograma,,1 mapa,Antzuolako Udala,Nombres geográficos -- Mapas -- Antzuola,Incluye índice toponímico y nomenclátor de ríos y fuentes,col.
Araba = Álava : green routes network = le réseau des voies vertes,Álava,,1 mapa,Arabako Foru Aldundia = Diputación Foral de Álava,Excursionismo -- Mapas -- Álava -- Vías verdes -- Mapas -- Álava,"Inserta: Rutas verdes, senderos de gran recorrido, senderos de pequeño recorrido y rutas de peregrinación",col.
Araba = Álava : netzwerk von günen wegen,Álava,,1 mapa,Arabako Foru Aldundia = Diputación Foral de Álava,Excursionismo -- Mapas -- Álava -- Vías verdes -- Mapas -- Álava,"Inserta: Rutas verdes, senderos de gran recorrido, senderos de pequeño recorrido y rutas de peregrinación",col.
Arabako mapa = Mapa de Álava,Álava,Mapa de Álava,1 mapa,Arabako Foru Aldundia = Diputación Foral de Alava,,"Al verso: Información de contacto de parques naturales, campos de golf, patrimonio histórico, museos, transportes, oficinas de turismo, bodegas y alojamientos turísticos",col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Lekunberriko Turismo Bulegoa,"Senderismo -- Mapas -- Aralar (España, Sierra) -- Senderismo -- Mapas -- Leizarán (España, Valle) -- Senderismo -- Mapas -- Barranca (Navarra, Comarca) -- Senderismo -- Mapas -- Ultzama",Inserta: Pequeño mapa de localización de la zona en Navarra,col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Nafarroako Gobernua = Gobierno de Navarra,"Senderismo -- Mapas -- Aralar (España, Sierra) -- Senderismo -- Mapas -- Leizarán (España, Valle) -- Senderismo -- Mapas -- Barranca (Navarra, Comarca) -- Senderismo -- Mapas -- Ultzama",Inserta: Pequeño mapa de localización de la zona en Navarra,col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Nafarroako Gobernua = Gobierno de Navarra,"Senderismo -- Mapas -- Aralar (España, Sierra) -- Senderismo -- Mapas -- Leizarán (España, Valle) -- Senderismo -- Mapas -- Barranca (Navarra, Comarca) -- Senderismo -- Mapas -- Ultzama",Inserta: Pequeño mapa de localización de la zona en Navarra,col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Oficina de Turismo de Lekunberri,"Senderismo -- Mapas -- Aralar (España, Sierra) -- Senderismo -- Mapas -- Leizarán (España, Valle) -- Senderismo -- Mapas -- Barranca (Navarra, Comarca) -- Senderismo -- Mapas -- Ultzama",Inserta: Pequeño mapa de localización de la zona en Navarra,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Inserta: Plano de localización y accesos al centro urbano; teléfonos de interés; portales turísticos; información comercial que continúa al verso; fotografías,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Inserta: Plano de localización y accesos al centro urbano; teléfonos de interés; portales turísticos; programa del festival Sonorama Rivera; fotografías,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Incluye mapa de la denominación de origen Ribera del Duero y plano de localización y accesos al centro urbano,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Incluye mapa de la denominación de origen Ribera del Duero y plano de localización y accesos al centro urbano,col.
Arantza : turismo gida = guía turística,Arantza,,1 mapa,Arantza Udala,,Inserta: Información sobre código y señalización de los itinerarios de montaña; localización de casas rurales y hoteles,col.
Armiñongo toponimoen mapa = Mapa toponímico de Armiñón,Geograma,Mapa toponímico de Armiñón,1 mapa,Armiñongo Udala,Nombres geográficos -- Mapas -- Armiñón,Inserta: Ampliación de los núcleos urbanos; relación de lugares de interés con su localización en el mapa; relación de yacimientos arqueológicos con su localización en el mapa; nomenclátor,col.
"Arpentez-moi : c'est encore la meilleure façon de me découvrir : vivre Vigo, vivre les Rías Baixas",Turismo de Vigo,,1 plano,Turismo de Vigo,,Inserta: Relación de alojamientos turísticos con su localización en el plano,col.
"Arpentez-moi : c'est la meilleure façon de me découvrir : vivre Pontevedra, vivre les Rías Baixas",Turismo Rías Baixas,,1 plano,Turismo Rías Baixas,,Incluye relación de alojamientos turísticos con su localización en el plano,col.
Arraia-Maeztu,Maeztu,,1 mapa,[Ayuntamiento Arraia-Maeztu],Nombres geográficos -- Mapas -- Maeztu,"Inserta: Ampliaciones de los núcleos urbanos del municipio, con localización de lugares de interés, equipamientos y servicios",col.
Artesa de Segre,Instituto Geológico y Minero de España,,2 h.,I.G.M.E.,Geología -- Mapas -- Artesa de Segre -- Geomorfología -- Mapas -- Artesa de Segre,,col.
Asia política,Editorial Teide,,1 mapa,Editorial Teide,,,col.
Astorga,Copul Publicidad,,1 plano,Copul,Comercios -- Planos -- Astorga,Inserta: Información comercial,col.
Asturias y Cantabria,Anaya Touring,,1 mapa,Anaya Touring,Carreteras -- Mapas -- Asturias (Comunidad Autónoma) -- Carreteras -- Mapas -- Cantabria (Comunidad Autónoma),"Al verso: Índice de lugares: pequeño mapa de localización en España; planos de Santander, Gijón y Oviedo",col.
Ateca,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Atlas de los Servicios de la Comunidad de Madrid 2017,Instituto de Estadística de la Comunidad de Madrid,,1 atlas (233 p.),Dirección General de Economía y Política Financiera,Sector servicios -- Mapas -- Madrid (Comunidad Autónoma),,"principalmente mapas, col."
Atlas de Navarra,Navarra (Comunidad Autónoma),,1 atlas (198 p.),"Gobierno de Navarra, Vicepresidencia de Desarrollo Económico",Carreteras -- Mapas -- Navarra (Comunidad Autónoma),,"principalmente mapas, col."
Atlas Geográfico de Chile y del Mundo,Instituto Cartográfico Latino,,1 atlas (192 p.),Vicens Vives,,,"principalmente mapas, col."
Atlas geografikoa eta politikoa 2016 : Euskal Herria eta mundua,Geoatlas,,1 atlas (111 p.),Elhuyar Fundazioa,,,"principalmente mapas, col."
Atlas of high speed rail in Spain,Fundación de los Ferrocarriles Españoles,,79 p.,Fundación de los Ferrocarriles Españoles,Ferrocarriles de alta velocidad -- Mapas -- España,,"mapas, graf., col."
Atles escolar valencià : geografia i història,"Piqueras, Juan",,1 atlas (174 p.),"Universitat de València, Departament de Geografia ;",,,"principalmente mapas, col."
"Atzeneta del Maestrat : Ruta 1, Atzeneta - El Castell - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas -- Atzeneta del Maestrat,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 2, Atzeneta - El Bovalar - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas -- Atzeneta del Maestrat,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 3, Atzeneta - Molins de vent - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas -- Atzeneta del Maestrat,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 4, Atzeneta - La nevera - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas -- Atzeneta del Maestrat,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 5, Atzeneta - Les Torroelles - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas -- Atzeneta del Maestrat,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 6, Atzeneta - Mas de Vidal - Ullal - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas -- Atzeneta del Maestrat,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
Avilés,InterMapa,,1 plano,Sociedad Pública de Gestión y Promoción Turística del Principado de Asturias,,Incluye relación de lugares de interés turístico,col.
Ayegui : Camino de Santiago : Km 100 desde Roncesvalles,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Ayegui : Donejakue bidea : Orreagatik 100. km-a.,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Ayegui : Le Chemin de Saint-Jacques : Km 100 de Roncevaux,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Ayegui : Santiago way : Km 100 from Roncesvalles,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Baena : plano guía = up guide,Baena,,1 plano,Ayuntamiento de Baena,,"Inserta: Relación de visitas recomendadas, alojamientos y restauración con su localización en el plano; información y equipamientos, servicios y oficina de turismo",col.
Bagà,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos -- Bagà,Inserta: Relación de lugares de interés con su localización en el plano,col.
El Bages,"Geotec, Estudis i Projectes",,1 mapa,Diputació [de] Barcelona,,"Inserta: Pequeños mapas de localización en la provincia de Barcelona, en Cataluña y en Europa",col.
Bahía y puerto de Ceuta,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,,col.
Baix Llobregat,Instituto Cartográfico y Geológico de Cataluña,,1 h.,ICGC,,Incluye mapa comarcal de Cataluña y mapa de los municipios del Baix Llobregat,col.
El Baix Llobregat,"Geotec, Estudis i Projectes",,1 mapa,Diputació [de] Barcelona,,"Inserta: Pequeños mapas de localización en la provincia de Barcelona, en Cataluña y en Europa",col.
Balaïtous et Vignemale,"Angulo, Miguel",,1 mapa,Sua Edizioak,"Excursionismo -- Mapas -- Balaitús (Macizo) -- Excursionismo -- Mapas -- Vignemale (España, Macizo)",,col.
Balat Humayd : el camino árabe a su paso por la Sierra de Guadarrama : la ruta de Almanzor hacia tierras cristianas,Sociedad Geográfica Café del Guadarrama,,1 mapa,[s.n.],"Senderismo -- Mapas -- Guadarrama (España, Sierra)","Inserta: Información demográfica de la provincia de Segovia; coordenadas de los meridianos más usuales para España, Islas Canarias, Portugal, Francia e Inglaterra",col.
Balsareny,SR Mapes,,1 plano,SR Mapes,,Incluye callejero e información comercial con su localización en el plano,col.
"Banyuls de la Marenda, Portbou",Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Suelos -- Mapas -- Banyuls-sur-Mer -- Suelos -- Mapas -- Portbou,"Incluye esquema edafológico, esquema geológico y clasificación de los suelos",col.
Barcarrota,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Callejero; plano del metro de la ciudad; plano del centro de Barcelona a escala 1:8.200; información turística y datos de interés; mapa comarcal de Cataluña; información de algunos de los principales monumentos de la ciudad; excursiones recomendadas; fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Callejero; plano del metro de la ciudad; plano del centro de Barcelona a escala 1:8.200; información turística y datos de interés; mapa comarcal de Cataluña; información de algunos de los principales monumentos de la ciudad con fotografías en color; excursiones recomendadas de un día,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Callejero; plano del metro de la ciudad; plano del centro de Barcelona a escala 1:8.200; información turística y datos de interés; mapa comarcal de Cataluña; información de algunos de los principales monumentos de la ciudad con fotografías en color; excursiones recomendadas de un día,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Índice de calles; ampliación del centro urbano; mapa de comarcas de Cataluña; plano de metro de Barcelona; información y teléfonos de interés turístico; lugares de interés; fotografías,col.
Barcelona,"Nin i Català, Josep",Barcelona Stadtplan,1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep","Barcelona, mapa de la ciudad",1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep","Barcelona, carte de la ville",1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep","Barcelona, mappa della città",1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Índice de calles; ampliación del centro urbano; mapa de comarcas de Cataluña; plano de metro de Barcelona; información y teléfonos de interés turístico; lugares de interés; fotografías,col.
Barcelona,"Nin i Català, Josep",,1 mapa,Distrimapas Telstar,,Incluye mapa del metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Distrimapas Telstar,,Incluye mapa del metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye plano de metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye plano de metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye fotografías,col.
Barcelona officiëlle plattegrond,Turisme de Barcelona,,1 plano,Barcelona Turisme,,Incluye relación de lugares de interés con su localización en el plano y callejero,col.
Barcelona : pocket map,"Esteve, Joan",,1 plano,Triangle Postals,,Al verso: Plano del centro histórico de Barcelona. - 40 x 49 cm. - 1:3.700 ; fotografías,col.
Barcelona - Torre Baró,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas -- Barcelona,Incluye mapas de: 1. Situación geológica. 2. Sedimentos cuaternarios. 3. Ortofotografía histórica. 4. Isopacas de los depósitos cuaternarios y antrópicos. 5. Depósito precuaternario. 6. Ortofotografía actual; columnas de sondeos representativos,col.
Bardenas,"Angulo, Miguel",,1 mapa,Sua Edizioak,"Excursionismo -- Mapas -- Bardenas Reales (Navarra, Comarca)",,col.
Bardenas,"Angulo, Miguel",,1 mapa,Sua Edizioak,"Excursionismo -- Mapas -- Bardenas Reales (Navarra, Comarca)",,col.
Baños y Mendigo,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Bellcaire d'Empordà,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos -- Bellcaire d'Empordà,Inserta: Relación de equipamientos y servicios e información comercial que continúa al verso con su localización en el plano,col.
Bellpuig,Bellpuig,,1 plano,Ajuntament de Bellpuig,,Inserta: Relación de lugares de interés con su localización en el plano; pequeño plano de Seana; pequeño plano del Circuito de Cataluña de Motocross,col.
Benabarre,Instituto Geológico y Minero de España,,2 h.,I.G.M.E.,Geología -- Mapas -- Benabarre -- Geomorfología -- Mapas -- Benabarre,,col.
Benavente,Copul Publicidad,,1 plano,Copul,Comercios -- Planos -- Benavente,Inserta: Información comercial,col.
Benicarló : rutes i senders saludables,Editorial Piolet,,1 mapa,Editorial Piolet ;,Excursionismo -- Mapas -- Benicarló,Inserta: Relación de rutas señaladas en el mapa,col.
Benidorm,Ediciones A.M.,,1 plano,Ediciones A.M.,,Inserta: Ampliación del casco antiguo; mapa de carreteras de acceso a Benidorm; servicios públicos con su localización en el plano,col.
Benvinguts a Collserola!,Consorcio del Parque Natural de la Sierra de Collserola,,1 mapa,Parc Natural de la Sierra de Collserola,,"Incluye mapa de localización en el área metropolitana de Barcelona, información general del Consorcio y sus servicios técnicos, hábitats, transportes, equipamientos y servicios, áreas de ocio y teléfonos de interés",col.
Berguedà,Instituto Cartográfico y Geológico de Cataluña,,1 h.,ICGC,,Incluye mapa comarcal de Cataluña y mapa de los municipios de Berguedà,col.
Besalú,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas -- Besalú,Incluye mapa de agrupaciones litológicas y elementos estructurales. - 1:50.000,col.
La Bidasoa-Bertiz,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas -- Bidasoa (Valle) -- Excursionismo -- Mapas -- Parque Natural Señorío de Bértiz,,col.
Biking Sierra Nevada,Nubia Consultores,,7 mapas en 1 h.,Patronato Provincial de Turismo de Granada,Ciclismo todoterreno -- Mapas -- Sierra Nevada (España),Al verso: Información general y perfiles altimétricos de las rutas representadas en los mapas; vista panorámica con la localización de las rutas; normativas de bicicletas en el Parque Nacional y Natural de Sierra Nevada,col.
Bilbao,Ediciones A.M.,,1 plano,Ediciones A.M.,,"Incluye índice de calles, lugares de interés, museos, edificios destacados, consulados, alojamientos, teléfonos de información y plano de metro",col.
Bilbao,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye índice de calles,col.
Bilboko toponimoen mapa = Mapa toponímico de Bilbao,Geograma,Mapa toponímico de Bilbao,1 mapa,Bilboko Udala,Nombres geográficos -- Mapas -- Bilbao,Inserta: Ampliación del casco viejo; relación de lugares y edificios de interés con su localización en el mapa,col.
Bótoa,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Broa de Sanlúcar de Barramenda y fondeadero de Bonanza,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,Inserta: De Bonanza a la Salina de Santa Teresa; distribución de cartas del Río Guadalquivir; diagrama de levantamientos y zonas de confianza; niveles de mareas,col.
Brozas,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Buceo = Submarinisme : Menorca,Fundació Foment del Turisme de Menorca,Submarinisme,1 mapa,Fundació Foment del Turisme de Menorca,Buceo -- Mapas -- Menorca,"Inserta: Lugares recomendados para realizar submarinismo, con su localización en el mapa",col.
Burdinmendi : bide berdea = Montes de hierro : vía verde,Asociación de Desarrollo Rural de Las Encartaciones,Montes de hierro,1 mapa,Erkanterrialde,"Vías verdes -- Mapas -- Las Encartaciones (Vizcaya, Comarca)",Inserta: Pequeñas fotografías señalando lugares de interés; tiempos aproximados a pie a lo largo del recorrido,col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Cabañeros : Parque Nacional,Organismo Autónomo Parques Nacionales (España),,1 mapa,Organismo Autónomo Parques Nacionales,Excursionismo -- Mapas -- Parque Nacional de Cabañeros,"Incluye información de interés que continúa al verso, ficha técnica del parque, rutas recomendadas, consejos de seguridad y normas del parque y fotografías",col.
